right wheel encoder data: 424522334646 3
imu data: 424521707921 -0.192333 -0.037332 1.02437 -0.00875 1.18125 1.12875
left wheel encoder data: 424523168046 4
right wheel encoder data: 424523281148 4
imu data: 424522814747 -0.211548 -0.039406 1.02834 0.0525 1.44375 1.1025
left wheel encoder data: 424524131454 4
right wheel encoder data: 424524280702 4
imu data: 424523961218 -0.23058 -0.041907 1.03157 0.1575 1.72375 1.05875
ofs data: 424524190629 -2 -2 216 78 0
left wheel encoder data: 424525154912 4
right wheel encoder data: 424525281715 4
imu data: 424525343804 -0.249002 -0.046055 1.03529 0.30625 2.03 1.00625
left wheel encoder data: 424526172831 4
right wheel encoder data: 424526279520 4
left wheel encoder data: 424527120790 4
right wheel encoder data: 424527285488 4
imu data: 424526352395 -0.264496 -0.05002 1.03871 0.48125 2.3275 0.945
imu data: 424527412290 -0.27755 -0.053192 1.03895 0.70875 2.61625 0.88375
left wheel encoder data: 424528211876 5
right wheel encoder data: 424528329059 5
imu data: 424528644462 -0.289018 -0.052704 1.03901 0.9275 2.905 0.805
left wheel encoder data: 424529122522 5
right wheel encoder data: 424529305293 5
imu data: 424529782188 -0.299022 -0.051057 1.03682 1.12875 3.185 0.735
left wheel encoder data: 424530168717 5
right wheel encoder data: 424530279779 5
left wheel encoder data: 424531119882 5
right wheel encoder data: 424531279333 5
imu data: 424530923703 -0.30866 -0.048373 1.03279 1.2775 3.4825 0.6475
imu data: 424531989428 -0.31659 -0.042578 1.03102 1.35625 3.77125 0.56875
left wheel encoder data: 424532417059 5
right wheel encoder data: 424532436881 5
left wheel encoder data: 424533122198 5
right wheel encoder data: 424533279608 5
left wheel encoder data: 424534119129 5
right wheel encoder data: 424534279454 6
imu data: 424533100627 -0.324276 -0.039406 1.03151 1.2075 4.2875 0.49
left wheel encoder data: 424535119558 6
right wheel encoder data: 424535335560 6
imu data: 424534486419 -0.329156 -0.035746 1.03072 1.015 4.4975 0.51625
left wheel encoder data: 424536141558 6
imu data: 424535547772 -0.327997 -0.03294 1.02309 1.015 4.4975 0.51625
right wheel encoder data: 424536281187 6
ofs data: 424536359891 -7 -7 207 78 0
imu data: 424536490775 -0.322446 -0.033916 1.01467 0.77 4.6725 0.56
left wheel encoder data: 424537118667 6
right wheel encoder data: 424537279867 6
imu data: 424537622380 -0.315614 -0.036112 1.0043 0.5075 4.795 0.65625
left wheel encoder data: 424538118805 6
right wheel encoder data: 424538278547 6
imu data: 424538787215 -0.308416 -0.03782 0.992836 0.25375 4.865 0.77875
left wheel encoder data: 424539120400 6
right wheel encoder data: 424539277810 6
left wheel encoder data: 424540120246 7
imu data: 424539928147 -0.301645 -0.038979 0.98332 0.0525 4.87375 0.9275
right wheel encoder data: 424540298061 7
left wheel encoder data: 424541123881 7
right wheel encoder data: 424541286538 7
imu data: 424541076950 -0.297314 -0.038186 0.976488 -0.0875 4.82125 1.07625
left wheel encoder data: 424542124893 7
right wheel encoder data: 424542279680 7
imu data: 424542185234 -0.292678 -0.035868 0.974536 -0.14875 4.71625 1.225
left wheel encoder data: 424543225307 7
right wheel encoder data: 424543302263 7
imu data: 424543336368 -0.285846 -0.032696 0.971974 -0.14875 4.57625 1.365
left wheel encoder data: 424544121670 7
right wheel encoder data: 424544279663 7
imu data: 424544466515 -0.278526 -0.02745 0.968375 -0.09625 4.40125 1.4875
left wheel encoder data: 424545126763 8
right wheel encoder data: 424545321486 8
left wheel encoder data: 424546120779 8
right wheel encoder data: 424546279938 8
imu data: 424545622605 -0.270962 -0.022936 0.97173 -0.02625 4.2 1.58375
ofs data: 424546018025 -9 -9 225 78 0
imu data: 424546755084 -0.263642 -0.021838 0.973255 0.035 3.955 1.63625
left wheel encoder data: 424547121791 8
right wheel encoder data: 424547277161 8
left wheel encoder data: 424548120471 8
imu data: 424547992794 -0.256322 -0.021106 0.97539 0.11375 3.68375 1.645
right wheel encoder data: 424548279048 8
left wheel encoder data: 424549117111 8
right wheel encoder data: 424549329323 8
imu data: 424549037240 -0.247843 -0.019886 0.980392 0.1925 3.3775 1.61
left wheel encoder data: 424550121038 9
right wheel encoder data: 424550281655 9
imu data: 424550161265 -0.237717 -0.019032 0.98088 0.2625 3.03625 1.54
left wheel encoder data: 424551120592 9
